OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
72869,17th St&Noe St *-MI,17ST.NO0,17ST.NOE,3318,37.762645,-122.432991,,NOE ST,17TH ST,MI,,,0,1729767266000,15727967,147,8,POINT (-122.432991 37.762645),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,5,5,38,38
73624,Judah St&12th Ave NE-NS/SI,JUDA12A0,JUDA12AV,5195,37.762069,-122.469324,1,12TH AVE,JUDAH ST,NS,NE,SI,0,1729767266000,15730340,147,7,POINT (-122.469324 37.762069),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,11,14,109,109
73681,Mansell St&Somerset St S-NS/PS,MANSSOM0,MANSSOME,5351,37.720417999999995,-122.40509399999999,,SOMERSET ST,MANSELL ST,NS,SO,,0,1729767266000,15730619,147,9,POINT (-122.405094 37.720418),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,25,75,75
74029,Mission St&Sickles Ave W-FS/BZ,MISSSIC0,MISSSICK,5619,37.70866,-122.45331999999999,,SICKLES AVE,MISSION ST,FS,WE,BZ,0,1729767266000,15731572,147,11,POINT (-122.45332 37.70866),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,1,28,66,66
75912,Ulloa St&14th Ave SW-NS/PS,ULOA14S1,ULOA14AV,8137,37.741355999999996,-122.470211,,14TH AVE,ULLOA ST,NS,SW,,0,1729767266000,15739260,147,7,POINT (-122.470211 37.741356),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,8,41,46,46
75443,Hayes St&Pierce St SE-FS/BZ,HAYSPIE1,HAYSPIER,5004,37.775413,-122.434177,,PIERCE ST,HAYES ST,FS,SE,BZ,1,1729767266000,15735150,147,5,POINT (-122.434177 37.775413),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,4,11,9,23,23
73708,Gilman Ave&3rd St E-NS/PS,GLMN 3S1,GLMN 3ST,4783,37.722457999999996,-122.395415,,3RD ST,GILMAN AVE,NS,EA,,0,1729767266000,15730707,147,10,POINT (-122.395415 37.722458),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,2,9,1,88,88
73235,Church St&Clipper St NW-NS/PS,CHURCLP0,CHURCLPR,4002,37.749387999999996,-122.427289,,CLIPPER ST,CHURCH ST,NS,NW,,0,1729767266000,15729006,147,8,POINT (-122.427289 37.749388),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,5,22,84,84
74008,Mission St&26th St SW-FS/BZ,MISS26S0,MISS26ST,5568,37.74857,-122.41818,,26TH ST,MISSION ST,FS,SW,BZ,0,1729767266000,15731697,147,9,POINT (-122.41818 37.74857),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,2,20,53,53
75710,22nd Ave&Judah St SE-NS/PS,22AVJUD1,22AVJUDA,3426,37.761457,-122.480106,,JUDAH ST,22ND AVE,NS,SE,,1,1729767266000,15738505,147,4,POINT (-122.480106 37.761457),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,10,7,35,39,39
74165,Right Of Way&21st St NW-NS/SB,ROW 21S0,ROW 21ST,6216,37.756643,-122.42692199999999,,21ST ST,RIGHT OF WAY,NS,NW,,0,1729767266000,15732805,147,8,POINT (-122.426922 37.756643),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,3,5,5,52,52
75414,Munich St&Geneva Ave W-NS/SB,MNCHGNV0,MNCHGNVA,5631,37.71293,-122.43295,,GENEVA AVE,MUNICH ST,NS,WE,,0,1729767266000,15733602,147,11,POINT (-122.43295 37.71293),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,1,7,58,58
74456,16th St& Rhode Island St SW-NS/SI,16STRIS0,,7761,37.765994,-122.402856,,KANSAS ST,16TH ST,,,BZ,0,1729767266000,15738876,147,10,POINT (-122.402856 37.765994),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,1,9,4,54,54
74208,Jones St&Sutter St NW-NS/BZ,JONESUT0,JONESUTT,5187,37.788689999999995,-122.41361,,SUTTER ST,JONES ST,NS,NW,BZ,1,1729767266000,15732608,147,3,POINT (-122.41361 37.78869),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,6,3,21,50,50
73378,Diamond St&Arbor St E-MI/SB,DIAMARB1,DIAMARBR,4382,37.738681,-122.434468,,ARBOR ST,DIAMOND ST,MI,EA,FL,0,1729767266000,15729447,147,8,POINT (-122.434468 37.738681),11/02/2024 08:47:21 PM,11/04/2024 09:42:39 AM,9,5,10,96,96
